id,titolo,genere,regista,anno,durataMinuti,etaMinima,dataOra,costoBiglietto
2275,Andaz Apna Apna,Action,Rajkumar Santoshi,1994,160,0,2025-05-23 10:00,8.50
2276,The General,Action,Clyde Bruckman,1926,67,12,2025-05-22 13:00,6.50
2277,Happiness,Comedy,Todd Solondz,1998,134,12,2025-05-22 10:00,7.50
2278,The Verdict,Drama,Sidney Lumet,1982,129,0,2025-05-21 12:30,7.00
2279,The General,Action,Clyde Bruckman,1926,67,12,2025-05-21 10:30,6.50
2280,Edward Scissorhands,Drama,Tim Burton,1990,105,0,2025-05-20 10:00,7.50
2281,Le samouraï,Crime,Jean-Pierre Melville,1967,105,12,2025-05-19 12:30,6.50
2282,Bin-jip,Crime,Ki-duk Kim,2004,88,0,2025-05-19 10:00,8.00
2283,Bin-jip,Crime,Ki-duk Kim,2004,88,0,2025-05-18 15:00,8.00
2284,21 Grams,Crime,Alejandro G. Iñárritu,2003,124,12,2025-05-18 12:00,7.00
2285,The General,Action,Clyde Bruckman,1926,67,12,2025-05-18 10:00,8.00
2286,Secrets & Lies,Comedy,Mike Leigh,1996,136,0,2025-05-17 15:30,7.00
2287,Ladri di biciclette,Drama,Vittorio De Sica,1948,89,12,2025-05-17 13:00,8.50
2288,Happiness,Comedy,Todd Solondz,1998,134,12,2025-05-17 10:00,8.50
2289,A Little Princess,Drama,Alfonso Cuarón,1995,97,0,2025-05-16 10:00,8.50
2290,My Cousin Vinny,Comedy,Jonathan Lynn,1992,120,12,2025-05-15 10:30,7.50
2291,The Last of the Mohicans,Action,Michael Mann,1992,112,12,2025-05-14 14:30,8.00
2292,Clerks,Comedy,Kevin Smith,1994,92,16,2025-05-14 12:00,8.50
2293,The General,Action,Clyde Bruckman,1926,67,12,2025-05-14 10:00,8.00
2294,Night on Earth,Comedy,Jim Jarmusch,1991,129,16,2025-05-13 16:00,6.50
2295,Miracle on 34th Street,Comedy,George Seaton,1947,96,12,2025-05-13 13:30,7.00
2296,Forrest Gump,Drama,Robert Zemeckis,1994,142,12,2025-05-13 10:30,6.50
2297,Edward Scissorhands,Drama,Tim Burton,1990,105,0,2025-05-12 15:30,7.00
2298,The Bridges of Madison County,Drama,Clint Eastwood,1995,135,12,2025-05-12 12:30,6.50
2299,The Breakfast Club,Comedy,John Hughes,1985,97,12,2025-05-12 10:00,8.50
2300,Night on Earth,Comedy,Jim Jarmusch,1991,129,16,2025-05-11 16:00,6.50
2301,In America,Drama,Jim Sheridan,2002,105,12,2025-05-11 13:30,8.50
2302,21 Grams,Crime,Alejandro G. Iñárritu,2003,124,12,2025-05-11 10:30,8.50
2303,21 Grams,Crime,Alejandro G. Iñárritu,2003,124,12,2025-05-10 19:30,10.00
2304,Giù la testa,Drama,Sergio Leone,1971,157,6,2025-05-10 16:00,8.00
2305,Deliverance,Adventure,John Boorman,1972,109,0,2025-05-10 13:30,7.00
2306,Giù la testa,Drama,Sergio Leone,1971,157,6,2025-05-10 10:00,7.00
2307,Mononoke-hime,Animation,Hayao Miyazaki,1997,134,0,2025-05-09 10:00,7.50
2308,Trois couleurs: Bleu,Drama,Krzysztof Kieslowski,1993,94,0,2025-05-08 13:30,8.50
2309,Amélie,Comedy,Jean-Pierre Jeunet,2001,122,0,2025-05-08 10:30,8.50
2310,My Cousin Vinny,Comedy,Jonathan Lynn,1992,120,12,2025-05-07 10:30,8.00
2311,Deliverance,Adventure,John Boorman,1972,109,0,2025-05-06 10:30,8.00
2312,Mononoke-hime,Animation,Hayao Miyazaki,1997,134,0,2025-05-05 10:30,8.00
2313,The Sting,Comedy,George Roy Hill,1973,129,0,2025-05-04 16:30,6.50
2314,Un long dimanche de fiançailles,Drama,Jean-Pierre Jeunet,2004,133,0,2025-05-04 13:30,8.00
2315,Forrest Gump,Drama,Robert Zemeckis,1994,142,12,2025-05-04 10:30,8.50
2316,Deliverance,Adventure,John Boorman,1972,109,0,2025-05-03 20:30,9.50
2317,Gandhi,Biography,Richard Attenborough,1982,191,0,2025-05-03 16:30,6.50
2318,Un long dimanche de fiançailles,Drama,Jean-Pierre Jeunet,2004,133,0,2025-05-03 13:30,8.50
2319,Amélie,Comedy,Jean-Pierre Jeunet,2001,122,0,2025-05-03 10:30,8.50
2320,Nuovo Cinema Paradiso,Drama,Giuseppe Tornatore,1988,155,0,2025-05-02 15:30,6.50
2321,Wait Until Dark,Thriller,Terence Young,1967,108,12,2025-05-02 13:00,8.00
2322,The Bridges of Madison County,Drama,Clint Eastwood,1995,135,12,2025-05-02 10:00,8.00
2323,Amélie,Comedy,Jean-Pierre Jeunet,2001,122,0,2025-05-01 16:00,7.00
2324,Happiness,Comedy,Todd Solondz,1998,134,12,2025-05-01 13:00,7.50
2325,Night on Earth,Comedy,Jim Jarmusch,1991,129,16,2025-05-01 10:00,6.50
2326,In America,Drama,Jim Sheridan,2002,105,12,2025-04-30 16:30,8.00
2327,Lilja 4-ever,Crime,Lukas Moodysson,2002,109,16,2025-04-30 14:00,8.50
2328,Giù la testa,Drama,Sergio Leone,1971,157,6,2025-04-30 10:30,7.50
2329,Forrest Gump,Drama,Robert Zemeckis,1994,142,12,2025-04-29 16:00,7.50
2330,The Last of the Mohicans,Action,Michael Mann,1992,112,12,2025-04-29 13:30,6.50
2331,Pride & Prejudice,Drama,Joe Wright,2005,129,6,2025-04-29 10:30,8.50
2332,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2025-04-28 13:00,7.50
2333,Night on Earth,Comedy,Jim Jarmusch,1991,129,16,2025-04-28 10:00,7.50
2334,Mononoke-hime,Animation,Hayao Miyazaki,1997,134,0,2025-04-27 18:30,9.00
2335,The Breakfast Club,Comedy,John Hughes,1985,97,12,2025-04-27 16:00,6.50
2336,Pride & Prejudice,Drama,Joe Wright,2005,129,6,2025-04-27 13:00,8.00
2337,The Last of the Mohicans,Action,Michael Mann,1992,112,12,2025-04-27 10:30,7.50
2338,Mononoke-hime,Animation,Hayao Miyazaki,1997,134,0,2025-04-26 18:30,8.50
2339,Amélie,Comedy,Jean-Pierre Jeunet,2001,122,0,2025-04-26 15:30,7.50
2340,Airplane!,Comedy,Jim Abrahams,1980,88,0,2025-04-26 13:00,8.50
2341,The Breakfast Club,Comedy,John Hughes,1985,97,12,2025-04-26 10:30,6.50
2342,Kelly's Heroes,Adventure,Brian G. Hutton,1970,144,12,2025-04-25 15:30,6.50
2343,The Sting,Comedy,George Roy Hill,1973,129,0,2025-04-25 12:30,8.00
2344,Airplane!,Comedy,Jim Abrahams,1980,88,0,2025-04-25 10:30,7.00
2345,Mary Poppins,Comedy,Robert Stevenson,1964,139,0,2025-04-24 15:30,8.50
2346,Trois couleurs: Blanc,Comedy,Krzysztof Kieslowski,1994,92,0,2025-04-24 13:00,6.50
2347,My Cousin Vinny,Comedy,Jonathan Lynn,1992,120,12,2025-04-24 10:30,6.50
2348,Giù la testa,Drama,Sergio Leone,1971,157,6,2025-04-23 10:30,6.50
2349,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-04-22 16:00,7.50
2350,Breaking the Waves,Drama,Lars von Trier,1996,159,16,2025-04-22 12:30,7.50
2351,Deliverance,Adventure,John Boorman,1972,109,0,2025-04-22 10:00,6.50
2352,Forrest Gump,Drama,Robert Zemeckis,1994,142,12,2025-04-21 12:30,8.50
2353,Who Framed Roger Rabbit,Animation,Robert Zemeckis,1988,104,0,2025-04-21 10:00,8.00
2354,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,2025-04-20 18:00,9.50
2355,My Cousin Vinny,Comedy,Jonathan Lynn,1992,120,12,2025-04-20 15:00,7.50
2356,Miracle on 34th Street,Comedy,George Seaton,1947,96,12,2025-04-20 12:30,7.50
2357,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-04-20 10:00,8.50
2358,Deliverance,Adventure,John Boorman,1972,109,0,2025-04-19 18:30,9.00
2359,The Sting,Comedy,George Roy Hill,1973,129,0,2025-04-19 15:30,8.50
2360,The Bridges of Madison County,Drama,Clint Eastwood,1995,135,12,2025-04-19 12:30,8.50
2361,Paper Moon,Comedy,Peter Bogdanovich,1973,102,0,2025-04-19 10:00,7.00
2362,Amélie,Comedy,Jean-Pierre Jeunet,2001,122,0,2025-04-18 10:30,8.50
2363,The Bridges of Madison County,Drama,Clint Eastwood,1995,135,12,2025-04-17 15:30,7.00
2364,The Last of the Mohicans,Action,Michael Mann,1992,112,12,2025-04-17 12:30,6.50
2365,My Cousin Vinny,Comedy,Jonathan Lynn,1992,120,12,2025-04-17 10:00,8.50
2366,In America,Drama,Jim Sheridan,2002,105,12,2025-04-16 10:00,7.50
2367,Le locataire,Drama,Roman Polanski,1976,126,16,2025-04-15 14:00,8.50
2368,Breaking the Waves,Drama,Lars von Trier,1996,159,16,2025-04-15 10:30,8.00
2369,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,2025-04-14 13:00,7.00
2370,Who Framed Roger Rabbit,Animation,Robert Zemeckis,1988,104,0,2025-04-14 10:30,6.50
2371,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,2025-04-13 19:30,10.00
2372,Mary Poppins,Comedy,Robert Stevenson,1964,139,0,2025-04-13 16:00,7.00
2373,Un long dimanche de fiançailles,Drama,Jean-Pierre Jeunet,2004,133,0,2025-04-13 13:00,8.50
2374,Le locataire,Drama,Roman Polanski,1976,126,16,2025-04-13 10:00,8.00
2375,Les choristes,Drama,Christophe Barratier,2004,97,12,2025-04-12 18:00,9.50
2376,Tengoku to jigoku,Crime,Akira Kurosawa,1963,143,12,2025-04-12 15:00,6.50
2377,In America,Drama,Jim Sheridan,2002,105,12,2025-04-12 12:30,6.50
2378,In America,Drama,Jim Sheridan,2002,105,12,2025-04-12 10:00,7.50
2379,Home Alone,Comedy,Chris Columbus,1990,103,0,2025-04-11 13:00,6.50
2380,Paper Moon,Comedy,Peter Bogdanovich,1973,102,0,2025-04-11 10:30,8.50
2381,The Breakfast Club,Comedy,John Hughes,1985,97,12,2025-04-10 10:30,8.00
2382,In America,Drama,Jim Sheridan,2002,105,12,2025-04-09 13:00,8.50
2383,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-04-09 10:30,8.50
2384,Judgment at Nuremberg,Drama,Stanley Kramer,1961,179,12,2025-04-08 10:30,7.00
2385,Short Cuts,Comedy,Robert Altman,1993,188,16,2025-04-07 13:00,7.00
2386,The Incredibles,Animation,Brad Bird,2004,115,0,2025-04-07 10:00,8.50
2387,The Purple Rose of Cairo,Comedy,Woody Allen,1985,82,0,2025-04-06 15:00,8.00
2388,Predator,Action,John McTiernan,1987,107,12,2025-04-06 12:30,8.00
2389,The Purple Rose of Cairo,Comedy,Woody Allen,1985,82,0,2025-04-06 10:30,8.50
2390,The Purple Rose of Cairo,Comedy,Woody Allen,1985,82,0,2025-04-05 18:30,8.50
2391,In America,Drama,Jim Sheridan,2002,105,12,2025-04-05 16:00,8.50
2392,Cinderella Man,Biography,Ron Howard,2005,144,12,2025-04-05 12:30,6.50
2393,Who Framed Roger Rabbit,Animation,Robert Zemeckis,1988,104,0,2025-04-05 10:00,7.00
2394,The 39 Steps,Crime,Alfred Hitchcock,1935,86,12,2025-04-04 13:00,6.50
2395,Airplane!,Comedy,Jim Abrahams,1980,88,0,2025-04-04 10:30,8.50
2396,Kelly's Heroes,Adventure,Brian G. Hutton,1970,144,12,2025-04-03 10:00,7.00
2397,The Odd Couple,Comedy,Gene Saks,1968,105,0,2025-04-02 10:30,7.50
2398,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-04-01 10:30,7.50
2399,Aladdin,Animation,Ron Clements,1992,90,0,2025-03-31 10:30,7.50
2400,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2025-03-30 16:30,7.00
2401,The Odd Couple,Comedy,Gene Saks,1968,105,0,2025-03-30 14:00,8.00
2402,Sleepers,Crime,Barry Levinson,1996,147,12,2025-03-30 10:30,8.00
2403,Kelly's Heroes,Adventure,Brian G. Hutton,1970,144,12,2025-03-29 16:00,6.50
2404,Who Framed Roger Rabbit,Animation,Robert Zemeckis,1988,104,0,2025-03-29 13:30,7.50
2405,Le locataire,Drama,Roman Polanski,1976,126,16,2025-03-29 10:30,8.50
2406,Forrest Gump,Drama,Robert Zemeckis,1994,142,12,2025-03-28 10:30,6.50
2407,The Odd Couple,Comedy,Gene Saks,1968,105,0,2025-03-27 16:30,7.00
2408,The Sting,Comedy,George Roy Hill,1973,129,0,2025-03-27 13:30,7.50
2409,Breaking the Waves,Drama,Lars von Trier,1996,159,16,2025-03-27 10:00,6.50
2410,Indiana Jones and the Last Crusade,Action,Steven Spielberg,1989,127,0,2025-03-26 13:00,6.50
2411,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,2025-03-26 10:00,6.50
2412,Kelly's Heroes,Adventure,Brian G. Hutton,1970,144,12,2025-03-25 14:00,7.00
2413,The Wild Bunch,Action,Sam Peckinpah,1969,145,12,2025-03-25 10:30,7.00
2414,The Odd Couple,Comedy,Gene Saks,1968,105,0,2025-03-24 12:30,8.50
2415,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-03-24 10:00,8.50
2416,Network,Drama,Sidney Lumet,1976,121,12,2025-03-23 20:30,9.50
2417,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2025-03-23 17:30,8.50
2418,The Incredibles,Animation,Brad Bird,2004,115,0,2025-03-23 14:30,7.50
2419,Judgment at Nuremberg,Drama,Stanley Kramer,1961,179,12,2025-03-23 10:30,6.50
2420,Indiana Jones and the Last Crusade,Action,Steven Spielberg,1989,127,0,2025-03-22 18:30,9.50
2421,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-03-22 16:00,6.50
2422,The Incredibles,Animation,Brad Bird,2004,115,0,2025-03-22 13:00,8.00
2423,Who Framed Roger Rabbit,Animation,Robert Zemeckis,1988,104,0,2025-03-22 10:30,7.00
2424,Cat on a Hot Tin Roof,Drama,Richard Brooks,1958,108,12,2025-03-21 13:30,7.50
2425,Mary Poppins,Comedy,Robert Stevenson,1964,139,0,2025-03-21 10:30,7.00
2426,Once Were Warriors,Crime,Lee Tamahori,1994,102,12,2025-03-20 16:00,7.00
2427,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2025-03-20 13:00,8.50
2428,The Odd Couple,Comedy,Gene Saks,1968,105,0,2025-03-20 10:30,7.50
2429,Breaking the Waves,Drama,Lars von Trier,1996,159,16,2025-03-19 16:00,6.50
2430,Tengoku to jigoku,Crime,Akira Kurosawa,1963,143,12,2025-03-19 12:30,8.50
2431,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-03-19 10:00,6.50
2432,Les choristes,Drama,Christophe Barratier,2004,97,12,2025-03-18 15:30,8.50
2433,The King of Comedy,Comedy,Martin Scorsese,1982,109,0,2025-03-18 12:30,8.00
2434,Cat on a Hot Tin Roof,Drama,Richard Brooks,1958,108,12,2025-03-18 10:00,7.50
2435,Schindler's List,Biography,Steven Spielberg,1993,195,12,2025-03-17 13:00,7.50
2436,Back to the Future,Adventure,Robert Zemeckis,1985,116,0,2025-03-17 10:00,6.50
2437,Die Hard,Action,John McTiernan,1988,132,12,2025-03-16 20:00,8.50
2438,The Shining,Drama,Stanley Kubrick,1980,146,12,2025-03-16 16:30,7.50
2439,The Incredibles,Animation,Brad Bird,2004,115,0,2025-03-16 13:30,8.00
2440,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2025-03-16 10:30,6.50
2441,Once Were Warriors,Crime,Lee Tamahori,1994,102,12,2025-03-15 20:00,8.50
2442,Le locataire,Drama,Roman Polanski,1976,126,16,2025-03-15 17:00,8.50
2443,Belle de jour,Drama,Luis Buñuel,1967,100,12,2025-03-15 14:30,6.50
2444,Schindler's List,Biography,Steven Spielberg,1993,195,12,2025-03-15 10:30,8.00
2445,Aladdin,Animation,Ron Clements,1992,90,0,2025-03-14 13:00,6.50
2446,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,2025-03-14 10:00,8.50
2447,Les choristes,Drama,Christophe Barratier,2004,97,12,2025-03-13 10:00,8.50
2448,Cat on a Hot Tin Roof,Drama,Richard Brooks,1958,108,12,2025-03-12 13:30,6.50
2449,Network,Drama,Sidney Lumet,1976,121,12,2025-03-12 10:30,8.00
2450,It Happened One Night,Comedy,Frank Capra,1934,105,12,2025-03-11 10:00,7.50
2451,Les choristes,Drama,Christophe Barratier,2004,97,12,2025-03-10 16:30,7.00
2452,Network,Drama,Sidney Lumet,1976,121,12,2025-03-10 13:30,6.50
2453,Back to the Future,Adventure,Robert Zemeckis,1985,116,0,2025-03-10 10:30,6.50
2454,Viskningar och rop,Drama,Ingmar Bergman,1972,91,12,2025-03-09 17:00,8.00
2455,Das Cabinet des Dr. Caligari,Fantasy,Robert Wiene,1920,76,12,2025-03-09 15:00,6.50
2456,Paper Moon,Comedy,Peter Bogdanovich,1973,102,0,2025-03-09 12:30,6.50
2457,Kind Hearts and Coronets,Comedy,Robert Hamer,1949,106,0,2025-03-09 10:00,7.50
2458,The Incredibles,Animation,Brad Bird,2004,115,0,2025-03-08 15:30,8.00
2459,Lilja 4-ever,Crime,Lukas Moodysson,2002,109,16,2025-03-08 13:00,7.50
2460,The King of Comedy,Comedy,Martin Scorsese,1982,109,0,2025-03-08 10:30,8.50
2461,Aladdin,Animation,Ron Clements,1992,90,0,2025-03-07 14:00,8.50
2462,Schindler's List,Biography,Steven Spielberg,1993,195,12,2025-03-07 10:00,6.50
2463,One Flew Over the Cuckoo's Nest,Drama,Milos Forman,1975,133,12,2025-03-06 13:00,7.00
2464,True Romance,Crime,Tony Scott,1993,119,16,2025-03-06 10:00,7.50
2465,Die Hard,Action,John McTiernan,1988,132,12,2025-03-05 10:00,7.00
2466,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-03-04 10:30,6.50
2467,Back to the Future,Adventure,Robert Zemeckis,1985,116,0,2025-03-03 15:00,7.50
2468,Home Alone,Comedy,Chris Columbus,1990,103,0,2025-03-03 12:30,6.50
2469,The Wizard of Oz,Adventure,Victor Fleming,1939,102,0,2025-03-03 10:00,6.50
2470,Sleepers,Crime,Barry Levinson,1996,147,12,2025-03-02 15:00,7.00
2471,Halloween,Horror,John Carpenter,1978,91,12,2025-03-02 12:30,8.00
2472,Lilja 4-ever,Crime,Lukas Moodysson,2002,109,16,2025-03-02 10:00,7.00
2473,Lilja 4-ever,Crime,Lukas Moodysson,2002,109,16,2025-03-01 18:30,10.00
2474,One Flew Over the Cuckoo's Nest,Drama,Milos Forman,1975,133,12,2025-03-01 15:30,7.50
2475,The Lady Vanishes,Mystery,Alfred Hitchcock,1938,96,12,2025-03-01 13:00,8.50
2476,Once Were Warriors,Crime,Lee Tamahori,1994,102,12,2025-03-01 10:30,8.00
2477,Paper Moon,Comedy,Peter Bogdanovich,1973,102,0,2025-02-28 15:00,7.00
2478,Once Were Warriors,Crime,Lee Tamahori,1994,102,12,2025-02-28 12:30,8.00
2479,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-02-28 10:00,6.50
2480,The Wild Bunch,Action,Sam Peckinpah,1969,145,12,2025-02-27 10:00,7.50
2481,Red River,Action,Howard Hawks,1948,133,12,2025-02-26 10:00,7.00
2482,One Flew Over the Cuckoo's Nest,Drama,Milos Forman,1975,133,12,2025-02-25 10:30,8.50
2483,Fa yeung nin wah,Drama,Kar-Wai Wong,2000,98,0,2025-02-24 10:30,8.00
2484,Les choristes,Drama,Christophe Barratier,2004,97,12,2025-02-23 16:00,7.00
2485,Viskningar och rop,Drama,Ingmar Bergman,1972,91,12,2025-02-23 13:30,7.00
2486,One Flew Over the Cuckoo's Nest,Drama,Milos Forman,1975,133,12,2025-02-23 10:30,6.50
2487,Paper Moon,Comedy,Peter Bogdanovich,1973,102,0,2025-02-22 19:00,9.00
2488,Sleepers,Crime,Barry Levinson,1996,147,12,2025-02-22 15:30,8.50
2489,Halloween,Horror,John Carpenter,1978,91,12,2025-02-22 13:00,8.00
2490,One Flew Over the Cuckoo's Nest,Drama,Milos Forman,1975,133,12,2025-02-22 10:00,6.50
2491,The Lady Vanishes,Mystery,Alfred Hitchcock,1938,96,12,2025-02-21 10:30,7.50
2492,The King of Comedy,Comedy,Martin Scorsese,1982,109,0,2025-02-20 16:00,7.50
2493,The Wild Bunch,Action,Sam Peckinpah,1969,145,12,2025-02-20 12:30,6.50
2494,Pink Floyd: The Wall,Drama,Alan Parker,1982,95,12,2025-02-20 10:00,8.50
2495,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,2025-02-19 14:30,7.50
2496,Ben-Hur,Adventure,William Wyler,1959,212,0,2025-02-19 10:00,8.50
2497,Primal Fear,Crime,Gregory Hoblit,1996,129,12,2025-02-18 17:30,7.50
2498,Barry Lyndon,Adventure,Stanley Kubrick,1975,185,6,2025-02-18 13:30,7.00
2499,The Wild Bunch,Action,Sam Peckinpah,1969,145,12,2025-02-18 10:00,8.50
2500,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,2025-02-17 13:30,6.50
2501,Network,Drama,Sidney Lumet,1976,121,12,2025-02-17 10:30,7.50
2502,Platoon,Drama,Oliver Stone,1986,120,12,2025-02-16 18:00,9.00
2503,The Wizard of Oz,Adventure,Victor Fleming,1939,102,0,2025-02-16 15:30,8.50
2504,Arsenic and Old Lace,Comedy,Frank Capra,1942,118,12,2025-02-16 12:30,6.50
2505,The Lady Vanishes,Mystery,Alfred Hitchcock,1938,96,12,2025-02-16 10:00,8.00
2506,Bound by Honor,Crime,Taylor Hackford,1993,180,16,2025-02-15 18:30,10.00
2507,Halloween,Horror,John Carpenter,1978,91,12,2025-02-15 16:00,7.00
2508,Mad Max 2,Action,George Miller,1981,96,12,2025-02-15 13:30,7.50
2509,In the Name of the Father,Biography,Jim Sheridan,1993,133,12,2025-02-15 10:30,6.50
2510,Training Day,Crime,Antoine Fuqua,2001,122,12,2025-02-14 10:00,8.00
2511,Network,Drama,Sidney Lumet,1976,121,12,2025-02-13 13:00,7.50
2512,Fa yeung nin wah,Drama,Kar-Wai Wong,2000,98,0,2025-02-13 10:30,8.00
2513,Das Cabinet des Dr. Caligari,Fantasy,Robert Wiene,1920,76,12,2025-02-12 15:30,8.50
2514,Aladdin,Animation,Ron Clements,1992,90,0,2025-02-12 13:00,7.50
2515,Die Hard,Action,John McTiernan,1988,132,12,2025-02-12 10:00,8.00
2516,Amélie,Comedy,Jean-Pierre Jeunet,2001,122,0,2025-02-11 10:30,8.50
2517,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,2025-02-10 10:30,7.00
2518,Aladdin,Animation,Ron Clements,1992,90,0,2025-02-09 17:30,6.50
2519,Kind Hearts and Coronets,Comedy,Robert Hamer,1949,106,0,2025-02-09 15:00,8.00
2520,Clerks,Comedy,Kevin Smith,1994,92,16,2025-02-09 12:30,6.50
2521,Clerks,Comedy,Kevin Smith,1994,92,16,2025-02-09 10:00,8.00
2522,Platoon,Drama,Oliver Stone,1986,120,12,2025-02-08 15:30,7.00
2523,It Happened One Night,Comedy,Frank Capra,1934,105,12,2025-02-08 13:00,8.00
2524,Les choristes,Drama,Christophe Barratier,2004,97,12,2025-02-08 10:30,8.50
2525,Twelve Monkeys,Mystery,Terry Gilliam,1995,129,12,2025-02-07 16:00,7.50
2526,Back to the Future,Adventure,Robert Zemeckis,1985,116,0,2025-02-07 13:00,6.50
2527,The Magnificent Seven,Action,John Sturges,1960,128,12,2025-02-07 10:00,6.50
2528,Rashômon,Crime,Akira Kurosawa,1950,88,12,2025-02-06 15:00,8.50
2529,Das Cabinet des Dr. Caligari,Fantasy,Robert Wiene,1920,76,12,2025-02-06 13:00,7.00
2530,Les choristes,Drama,Christophe Barratier,2004,97,12,2025-02-06 10:30,6.50
2531,Au revoir les enfants,Drama,Louis Malle,1987,104,0,2025-02-05 10:00,7.50
2532,Kind Hearts and Coronets,Comedy,Robert Hamer,1949,106,0,2025-02-04 15:00,7.50
2533,Strangers on a Train,Crime,Alfred Hitchcock,1951,101,12,2025-02-04 12:30,6.50
2534,It Happened One Night,Comedy,Frank Capra,1934,105,12,2025-02-04 10:00,7.00
2535,Clerks,Comedy,Kevin Smith,1994,92,16,2025-02-03 15:00,8.50
2536,Home Alone,Comedy,Chris Columbus,1990,103,0,2025-02-03 12:30,8.50
2537,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Animation,Hideaki Anno,1997,87,12,2025-02-03 10:00,8.50
2538,Training Day,Crime,Antoine Fuqua,2001,122,12,2025-02-02 16:00,6.50
2539,Dog Day Afternoon,Biography,Sidney Lumet,1975,125,0,2025-02-02 13:00,7.00
2540,Strangers on a Train,Crime,Alfred Hitchcock,1951,101,12,2025-02-02 10:30,7.50
2541,Amélie,Comedy,Jean-Pierre Jeunet,2001,122,0,2025-02-01 18:00,9.00
2542,Au revoir les enfants,Drama,Louis Malle,1987,104,0,2025-02-01 15:30,8.50
2543,The Goonies,Adventure,Richard Donner,1985,114,0,2025-02-01 13:00,7.50
2544,Primal Fear,Crime,Gregory Hoblit,1996,129,12,2025-02-01 10:00,7.00
2545,The Goonies,Adventure,Richard Donner,1985,114,0,2025-01-31 13:00,7.50
2546,Clerks,Comedy,Kevin Smith,1994,92,16,2025-01-31 10:30,7.50
2547,Au revoir les enfants,Drama,Louis Malle,1987,104,0,2025-01-30 10:30,6.50
2548,Home Alone,Comedy,Chris Columbus,1990,103,0,2025-01-29 13:30,8.00
2549,"Il buono, il brutto, il cattivo",Western,Sergio Leone,1966,161,12,2025-01-29 10:00,7.50
2550,Arsenic and Old Lace,Comedy,Frank Capra,1942,118,12,2025-01-28 10:00,7.50
2551,The Magnificent Seven,Action,John Sturges,1960,128,12,2025-01-27 16:30,8.50
2552,Training Day,Crime,Antoine Fuqua,2001,122,12,2025-01-27 13:30,8.50
2553,Training Day,Crime,Antoine Fuqua,2001,122,12,2025-01-27 10:30,7.00
2554,The Godfather: Part III,Crime,Francis Ford Coppola,1990,162,12,2025-01-26 19:00,9.50
2555,Rashômon,Crime,Akira Kurosawa,1950,88,12,2025-01-26 16:30,8.00
2556,Mononoke-hime,Animation,Hayao Miyazaki,1997,134,0,2025-01-26 13:30,6.50
2557,The Magnificent Seven,Action,John Sturges,1960,128,12,2025-01-26 10:30,7.00
2558,Twelve Monkeys,Mystery,Terry Gilliam,1995,129,12,2025-01-25 17:00,6.50
2559,Barry Lyndon,Adventure,Stanley Kubrick,1975,185,6,2025-01-25 13:00,6.50
2560,Training Day,Crime,Antoine Fuqua,2001,122,12,2025-01-25 10:00,7.00
2561,Escape from Alcatraz,Action,Don Siegel,1979,112,12,2025-01-24 13:00,8.00
2562,Repulsion,Drama,Roman Polanski,1965,105,12,2025-01-24 10:30,7.50
2563,Amélie,Comedy,Jean-Pierre Jeunet,2001,122,0,2025-01-23 15:30,6.50
2564,Amélie,Comedy,Jean-Pierre Jeunet,2001,122,0,2025-01-23 12:30,8.50
2565,Jeux d'enfants,Comedy,Yann Samuell,2003,93,16,2025-01-23 10:00,8.00
2566,The Goonies,Adventure,Richard Donner,1985,114,0,2025-01-22 15:30,7.00
2567,Les choristes,Drama,Christophe Barratier,2004,97,12,2025-01-22 13:00,7.00
2568,It Happened One Night,Comedy,Frank Capra,1934,105,12,2025-01-22 10:30,8.00
2569,All About Eve,Drama,Joseph L. Mankiewicz,1950,138,12,2025-01-21 13:00,7.00
2570,Repulsion,Drama,Roman Polanski,1965,105,12,2025-01-21 10:30,7.50
2571,Platoon,Drama,Oliver Stone,1986,120,12,2025-01-20 13:30,7.00
2572,Twelve Monkeys,Mystery,Terry Gilliam,1995,129,12,2025-01-20 10:30,6.50
